"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"1","Q1.2020","","OECD","HUR","TOT","PC_LF","M","2020-04",8.78448,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Q1.2020","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","AR","AMRO",79,1133,4,31,44.494502,1.7755e-06,2.54638e-05,8.98987e-08,6.96715e-07,NA
"3","Q1.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,"","4/3/2020","AU","WPRO",374,5350,5,26,24.99286,1.49643e-05,0.000214061,2.00057e-07,1.0403e-06,"1,233,976"
"4","Q1.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","AT","EURO",418,11129,12,158,8.837707,4.72973e-05,0.001259263,1.35782e-06,1.78779e-05,"454,026"
"5","Q1.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","BE","EURO",1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92042e-05,0.000160298,"540,442"
"6","Q1.2020","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","BR","AMRO",1119,6836,40,241,208.4949,5.36704e-06,3.27874e-05,1.91851e-07,1.1559e-06,"3,007,004"
"7","Q1.2020","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","BG","EURO",35,457,0,10,7.025037,4.98218e-06,6.5053e-05,0,1.42348e-06,"153,093"
"8","Q1.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-04",13.1,"","4/3/2020","CA","AMRO",1109,10114,22,127,37.058856,2.99254e-05,0.000272917,5.9365e-07,3.42698e-06,"1,708,880"
"9","Q1.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-04",10.88574,"","4/3/2020","CL","AMRO",373,3404,2,18,18.751405,1.98918e-05,0.000181533,1.06659e-07,9.59928e-07,"442,744"
"10","Q1.2020","China",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","CN","WPRO",78,82802,4,3331,1415.045928,5.51219e-08,5.85154e-05,2.82676e-09,2.35399e-06,NA
"11","Q1.2020","Colombia","COL","HUR","TOT","PC_LF","M","2020-04",20.13249,"","4/3/2020","CO","AMRO",159,1065,1,17,49.83424,3.19058e-06,2.13708e-05,2.00665e-08,3.41131e-07,"677,975"
"12","Q1.2020","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","CR","AMRO",28,375,0,2,5.003402,5.59619e-06,7.4949e-05,0,3.99728e-07,"95,822"
"13","Q1.2020","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","HR","EURO",48,1011,1,7,4.080666,1.17628e-05,0.000247754,2.45058e-07,1.71541e-06,NA
"14","Q1.2020","Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","CY","EURO",36,356,0,9,0.869006,4.14266e-05,0.000409663,0,1.03567e-05,NA
"15","Q1.2020","Czechia","CZE","HUR","TOT","PC_LF","M","2020-04",2.2,"","4/3/2020","CZ","EURO",269,3858,5,44,10.62643,2.53142e-05,0.000363057,4.70525e-07,4.14062e-06,"396,444"
"16","Q1.2020","Denmark","DNK","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","DK","EURO",279,3386,19,123,5.789957,4.81869e-05,0.000584806,3.28154e-06,2.12437e-05,"307,870"
"17","Q1.2020","Estonia","EST","HUR","TOT","PC_LF","M","2020-04",6,"","4/3/2020","EE","EURO",79,858,6,11,1.321977,5.9759e-05,0.000649028,4.53866e-06,8.32087e-06,"45,864"
"18","Q1.2020","Finland","FIN","HUR","TOT","PC_LF","M","2020-04",7.3,"","4/3/2020","FI","EURO",72,1518,2,19,5.515525,1.30541e-05,0.000275223,3.62613e-07,3.44482e-06,"248,866"
"19","Q1.2020","France","FRA","HUR","TOT","PC_LF","M","2020-04",7.3,"","4/3/2020","FR","EURO",2066,58327,471,4490,66.941698,3.08627e-05,0.00087131,7.03597e-06,6.70733e-05,"2,734,755"
"20","Q1.2020","Germany","DEU","HUR","TOT","PC_LF","M","2020-04",4,"","4/3/2020","DE","EURO",6174,79696,145,1017,82.914191,7.44625e-05,0.000961186,1.7488e-06,1.22657e-05,"4,078,379"
"21","Q1.2020","Greece","GRC","HUR","TOT","PC_LF","M","2020-04",16.2,"","4/3/2020","GR","EURO",139,1514,3,53,10.725886,1.29593e-05,0.000141154,2.79697e-07,4.94132e-06,"301,354"
"22","Q1.2020","Hungary","HUN","HUR","TOT","PC_LF","M","2020-04",4.1,"","4/3/2020","HU","EURO",38,623,5,26,9.7676,3.89041e-06,6.37823e-05,5.11896e-07,2.66186e-06,"312,275"
"23","Q1.2020","Iceland","ISL","HUR","TOT","PC_LF","M","2020-04",4.8,"","4/3/2020","IS","EURO",99,1319,2,4,0.352722,0.000280674,0.003739489,5.67019e-06,1.13404e-05,"18,315"
"24","Q1.2020","India",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","IN","SEARO",336,2301,6,56,1354.051854,2.48144e-07,1.69934e-06,4.43114e-09,4.13574e-08,"9,225,108"
"25","Q1.2020","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","ID","SEARO",196,1986,11,181,265.0153,7.3958e-07,7.49391e-06,4.1507e-08,6.82979e-07,"3,262,076"
"26","Q1.2020","Ireland","IRL","HUR","TOT","PC_LF","M","2020-04",4.7,"","4/3/2020","IE","EURO",402,3849,13,98,4.857015,8.27669e-05,0.000792462,2.67654e-06,2.0177e-05,"417,865"
"27","Q1.2020","Israel","ISR","HUR","TOT","PC_LF","M","2020-04",3.670104,"","4/3/2020","IL","EURO",696,6421,8,29,8.872943,7.84407e-05,0.000723661,9.01617e-07,3.26836e-06,"341,032"
"28","Q1.2020","Italy","ITA","HUR","TOT","PC_LF","M","2020-04",7.4,"","4/3/2020","IT","EURO",4668,115242,760,13917,60.421797,7.72569e-05,0.001907292,1.25782e-05,0.000230331,"2,203,389"
"29","Q1.2020","Japan","JPN","HUR","TOT","PC_LF","M","2020-04",2.6,"","4/3/2020","JP","WPRO",233,2617,8,65,126.44318,1.84272e-06,2.0697e-05,6.32695e-08,5.14065e-07,"5,273,365"
"30","Q1.2020","Latvia","LVA","HUR","TOT","PC_LF","M","2020-04",8.2,"","4/3/2020","LV","EURO",12,458,0,0,1.92717,6.22675e-06,0.000237654,0,0,"54,429"
"31","Q1.2020","Liechtenstein","LTU","HUR","TOT","PC_LF","M","2020-04",7.8,"","4/3/2020","LI","EURO",1,77,0,0,2.801541,3.56946e-07,2.74849e-05,0,0,NA
"32","Q1.2020","Luxembourg","LUX","HUR","TOT","PC_LF","M","2020-04",7.4,"","4/3/2020","LU","EURO",168,2487,1,30,0.60795,0.000276339,0.004090797,1.64487e-06,4.93462e-05,"66,074"
"33","Q1.2020","Malta",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","MT","EURO",7,195,0,0,0.483793,1.4469e-05,0.000403065,0,0,NA
"34","Q1.2020","Mexico","MEX","HUR","TOT","PC_LF","M","2020-04",4.801267,"","4/3/2020","MX","AMRO",163,1378,8,37,125.327797,1.30059e-06,1.09952e-05,6.38326e-08,2.95226e-07,"2,344,547"
"35","Q1.2020","Netherlands","NLD","HUR","TOT","PC_LF","M","2020-04",3.4,"","4/3/2020","NL","EURO",1083,14543,155,1292,17.231622,6.28496e-05,0.000843972,8.99509e-06,7.49784e-05,"923,754"
"36","Q1.2020","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","NZ","WPRO",51,774,0,1,4.8855,1.04391e-05,0.000158428,0,2.04687e-07,"197,414"
"37","Q1.2020","Norway","NOR","HUR","TOT","PC_LF","M","2020-04",4.1,"","4/3/2020","NO","EURO",270,4935,10,42,5.311916,5.08291e-05,0.000929043,1.88256e-06,7.90675e-06,"330,901"
"38","Q1.2020","Poland","POL","HUR","TOT","PC_LF","M","2020-04",3.1,"","4/3/2020","PL","EURO",392,2946,14,57,38.413139,1.02048e-05,7.66925e-05,3.64459e-07,1.48387e-06,"1,222,948"
"39","Q1.2020","Portugal","PRT","HUR","TOT","PC_LF","M","2020-04",6.3,"","4/3/2020","PT","EURO",783,9034,22,209,10.283822,7.6139e-05,0.000878467,2.13928e-06,2.03232e-05,"330,355"
"40","Q1.2020","Republic of Korea","KOR","HUR","TOT","PC_LF","M","2020-04",3.8,"","4/3/2020","KR","WPRO",86,10062,5,174,51.635256,1.66553e-06,0.000194867,9.68331e-08,3.36979e-06,"2,158,901"
"41","Q1.2020","Romania",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","RO","EURO",278,2738,9,94,19.471332,1.42774e-05,0.000140617,4.62218e-07,4.82761e-06,"530,636"
"42","Q1.2020","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","SA","EMRO",154,2039,4,25,33.41366,4.60889e-06,6.10229e-05,1.19712e-07,7.48197e-07,"1,580,374"
"43","Q1.2020","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","SG","WPRO",49,1049,1,4,3.994283,1.22675e-05,0.000262625,2.50358e-07,1.00143e-06,NA
"44","Q1.2020","Slovakia","SVK","HUR","TOT","PC_LF","M","2020-04",6.6,"","4/3/2020","SK","EURO",37,400,0,0,5.446771,6.79302e-06,7.3438e-05,0,0,"173,352"
"45","Q1.2020","Slovenia","SVN","HUR","TOT","PC_LF","M","2020-04",5.3,"","4/3/2020","SI","EURO",55,897,1,20,2.07005,2.65694e-05,0.000433323,4.8308e-07,9.6616e-06,"73,154"
"46","Q1.2020","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","ZA","AFRO",82,1462,0,5,57.725606,1.42051e-06,2.53267e-05,0,8.66167e-08,"708,992"
"47","Q1.2020","Spain","ESP","HUR","TOT","PC_LF","M","2020-04",15.2,"","4/3/2020","ES","EURO",7058,131421,895,11285,46.733038,0.000151028,0.002812165,1.91513e-05,0.000241478,"1,711,635"
"48","Q1.2020","Sweden","SWE","HUR","TOT","PC_LF","M","2020-04",7.9,"","4/3/2020","SE","EURO",486,5320,53,385,10.175214,4.77631e-05,0.000522839,5.20874e-06,3.7837e-05,"524,146"
"49","Q1.2020","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","CH","EURO",877,20930,60,600,8.513227,0.000103016,0.002458527,7.04786e-06,7.04786e-05,"584,225"
"50","Q1.2020","The United Kingdom","GBR","HUR","TOT","PC_LF","M","2020-04",4.054801,"","4/3/2020","GB","EURO",4913,43385,657,3782,66.43555,7.39514e-05,0.000653039,9.88928e-06,5.69274e-05,"2,869,775"
"51","Q1.2020","Turkey","TUR","HUR","TOT","PC_LF","M","2020-04",13.6,"","4/3/2020","TR","EURO",2456,18135,79,356,81.407211,3.01693e-05,0.000222769,9.7043e-07,4.37308e-06,"2,390,954"
"52","Q1.2020","United States of America","USA","HUR","TOT","PC_LF","M","2020-04",14.8,"","4/3/2020","US","AMRO",26298,213600,947,4793,327.167434,8.03809e-05,0.000652877,2.89454e-06,1.465e-05,"19,889,983"
"53","Q2.2020","","OECD","HUR","TOT","PC_LF","M","2020-07",8.116845,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Q2.2020","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","AR","AMRO",2667,67197,53,1363,44.494502,5.994e-05,0.001510232,1.19116e-06,3.0633e-05,NA
"55","Q2.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-07",7.480891,"","7/3/2020","AU","WPRO",81,8001,0,104,24.99286,3.24093e-06,0.000320131,0,4.16119e-06,"1,147,260"
"56","Q2.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-07",5.8,"","7/3/2020","AT","EURO",138,17952,0,705,8.837707,1.56149e-05,0.002031296,0,7.97718e-05,"401,506"
"57","Q2.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-07",5.9,"","7/3/2020","BE","EURO",93,62306,5,9631,11.40374,8.15522e-06,0.005463646,4.38453e-07,0.000844547,"476,577"
"58","Q2.2020","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","BR","AMRO",46712,1448753,1038,60632,208.4949,0.000224044,0.006948626,4.97854e-06,0.000290808,"2,718,337"
"59","Q2.2020","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","BG","EURO",161,5315,0,232,7.025037,2.2918e-05,0.00075658,0,3.30247e-05,"137,678"
"60","Q2.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-07",10.9,"","7/3/2020","CA","AMRO",0,104204,0,8591,37.058856,0,0.002811852,0,0.00023182,"1,515,527"
"61","Q2.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-07",12.26392,"","7/3/2020","CL","AMRO",2498,284541,167,5920,18.751405,0.000133217,0.015174383,8.906e-06,0.00031571,"383,115"
"62","Q2.2020","China",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","CN","WPRO",15,85278,0,4648,1415.045928,1.06004e-08,6.02652e-05,0,3.2847e-06,NA
"63","Q2.2020","Colombia","COL","HUR","TOT","PC_LF","M","2020-07",19.43816,"","7/3/2020","CO","AMRO",4163,102009,136,3470,49.83424,8.35369e-05,0.002046966,2.72905e-06,6.96308e-05,"577,711"
"64","Q2.2020","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","CR","AMRO",294,3753,0,16,5.003402,5.876e-05,0.00075009,0,3.19782e-06,"88,599"
"65","Q2.2020","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","HR","EURO",81,2912,2,110,4.080666,1.98497e-05,0.000713609,4.90116e-07,2.69564e-05,NA
"66","Q2.2020","Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","CY","EURO",0,999,0,19,0.869006,0,0.001149589,0,2.18641e-05,NA
"67","Q2.2020","Czechia","CZE","HUR","TOT","PC_LF","M","2020-07",2.7,"","7/3/2020","CZ","EURO",132,12178,2,351,10.62643,1.24219e-05,0.00114601,1.8821e-07,3.30308e-05,"362,709"
"68","Q2.2020","Denmark","DNK","HUR","TOT","PC_LF","M","2020-07",6.3,"","7/3/2020","DK","EURO",21,12815,0,606,5.789957,3.62697e-06,0.002213315,0,0.000104664,"286,100"
"69","Q2.2020","Estonia","EST","HUR","TOT","PC_LF","M","2020-07",7.8,"","7/3/2020","EE","EURO",1,1990,0,63,1.321977,7.56443e-07,0.001505321,0,4.76559e-05,"43,344"
"70","Q2.2020","Finland","FIN","HUR","TOT","PC_LF","M","2020-07",8.6,"","7/3/2020","FI","EURO",5,7241,0,328,5.515525,9.06532e-07,0.00131284,0,5.94685e-05,"239,219"
"71","Q2.2020","France","FRA","HUR","TOT","PC_LF","M","2020-07",9.4,"","7/3/2020","FR","EURO",480,158286,14,29791,66.941698,7.17042e-06,0.002364535,2.09137e-07,0.000445029,"2,361,420"
"72","Q2.2020","Germany","DEU","HUR","TOT","PC_LF","M","2020-07",4.4,"","7/3/2020","DE","EURO",446,195674,9,9003,82.914191,5.37906e-06,0.002359958,1.08546e-07,0.000108582,"3,682,481"
"73","Q2.2020","Greece","GRC","HUR","TOT","PC_LF","M","2020-07",16.7,"","7/3/2020","GR","EURO",26,3458,0,192,10.725886,2.42404e-06,0.000322398,0,1.79006e-05,"258,719"
"74","Q2.2020","Hungary","HUN","HUR","TOT","PC_LF","M","2020-07",4.6,"","7/3/2020","HU","EURO",9,4166,1,587,9.7676,9.21414e-07,0.000426512,1.02379e-07,6.00966e-05,"266,738"
"75","Q2.2020","Iceland","ISL","HUR","TOT","PC_LF","M","2020-07",5.3,"","7/3/2020","IS","EURO",5,1830,0,10,0.352722,1.41755e-05,0.005188222,0,2.83509e-05,"16,975"
"76","Q2.2020","India",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","IN","SEARO",20903,625544,379,18213,1354.051854,1.54374e-05,0.000461979,2.79901e-07,1.34507e-05,"6,895,944"
"77","Q2.2020","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","ID","SEARO",1624,59394,53,2987,265.0153,6.12795e-06,0.000224115,1.99988e-07,1.1271e-05,"3,035,365"
"78","Q2.2020","Ireland","IRL","HUR","TOT","PC_LF","M","2020-07",6.2,"","7/3/2020","IE","EURO",12,25489,0,1738,4.857015,2.47065e-06,0.005247873,0,0.000357833,"404,491"
"79","Q2.2020","Israel","ISR","HUR","TOT","PC_LF","M","2020-07",4.661653,"","7/3/2020","IL","EURO",972,26421,3,330,8.872943,0.000109547,0.002977704,3.38107e-07,3.71917e-05,"312,098"
"80","Q2.2020","Italy","ITA","HUR","TOT","PC_LF","M","2020-07",9.7,"","7/3/2020","IT","EURO",201,240961,30,34818,60.421797,3.32661e-06,0.003987981,4.9651e-07,0.000576249,"1,915,990"
"81","Q2.2020","Japan","JPN","HUR","TOT","PC_LF","M","2020-07",2.9,"","7/3/2020","JP","WPRO",194,19068,1,976,126.44318,1.53429e-06,0.000150803,7.90869e-09,7.71888e-06,"4,835,620"
"82","Q2.2020","Latvia","LVA","HUR","TOT","PC_LF","M","2020-07",8.8,"","7/3/2020","LV","EURO",1,1122,0,30,1.92717,5.18896e-07,0.000582201,0,1.55669e-05,"50,577"
"83","Q2.2020","Liechtenstein","LTU","HUR","TOT","PC_LF","M","2020-07",9.6,"","7/3/2020","LI","EURO",0,84,0,1,2.801541,0,2.99835e-05,0,3.56946e-07,NA
"84","Q2.2020","Luxembourg","LUX","HUR","TOT","PC_LF","M","2020-07",7.2,"","7/3/2020","LU","EURO",50,4395,0,110,0.60795,8.22436e-05,0.007229213,0,0.000180936,"61,178"
"85","Q2.2020","Malta",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","MT","EURO",0,670,0,9,0.483793,0,0.00138489,0,1.8603e-05,NA
"86","Q2.2020","Mexico","MEX","HUR","TOT","PC_LF","M","2020-07",5.120639,"","7/3/2020","MX","AMRO",5681,231770,741,28510,125.327797,4.53291e-05,0.00184931,5.9125e-06,0.000227483,"1,947,124"
"87","Q2.2020","Netherlands","NLD","HUR","TOT","PC_LF","M","2020-07",4.5,"","7/3/2020","NL","EURO",75,50196,3,6092,17.231622,4.35246e-06,0.002913017,1.74099e-07,0.000353536,"844,846"
"88","Q2.2020","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","NZ","WPRO",0,1180,0,22,4.8855,0,0.000241531,0,4.50312e-06,"178,735"
"89","Q2.2020","Norway","NOR","HUR","TOT","PC_LF","M","2020-07",5.2,"","7/3/2020","NO","EURO",8,8895,0,251,5.311916,1.50605e-06,0.001674537,0,4.72523e-05,"315,681"
"90","Q2.2020","Poland","POL","HUR","TOT","PC_LF","M","2020-07",3.4,"","7/3/2020","PL","EURO",371,35146,15,1492,38.413139,9.65815e-06,0.000914947,3.90491e-07,3.88409e-05,"1,112,875"
"91","Q2.2020","Portugal","PRT","HUR","TOT","PC_LF","M","2020-07",7.9,"","7/3/2020","PT","EURO",328,42782,8,1587,10.283822,3.18948e-05,0.004160126,7.77921e-07,0.00015432,"284,385"
"92","Q2.2020","Republic of Korea","KOR","HUR","TOT","PC_LF","M","2020-07",4.1,"","7/3/2020","KR","WPRO",61,12965,0,282,51.635256,1.18136e-06,0.000251088,0,5.46138e-06,"2,090,813"
"93","Q2.2020","Romania",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","RO","EURO",450,27746,20,1687,19.471332,2.31109e-05,0.001424967,1.02715e-06,8.66402e-05,"466,117"
"94","Q2.2020","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","SA","EMRO",3383,197608,54,1752,33.41366,0.000101246,0.005913988,1.61611e-06,5.24336e-05,"1,497,953"
"95","Q2.2020","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","SG","WPRO",188,44310,0,26,3.994283,4.70673e-05,0.011093355,0,6.5093e-06,NA
"96","Q2.2020","Slovakia","SVK","HUR","TOT","PC_LF","M","2020-07",7.1,"","7/3/2020","SK","EURO",20,1687,0,28,5.446771,3.6719e-06,0.000309725,0,5.14066e-06,"158,962"
"97","Q2.2020","Slovenia","SVN","HUR","TOT","PC_LF","M","2020-07",5.2,"","7/3/2020","SI","EURO",21,1633,0,114,2.07005,1.01447e-05,0.00078887,0,5.50711e-05,"65,994"
"98","Q2.2020","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"7/3/2020","ZA","AFRO",8728,168061,95,2844,57.725606,0.000151198,0.002911377,1.64572e-06,4.92676e-05,"591,001"
